Mark Evans,Mark,GK,Male,Medium,Earth,47,94,13,16,25,25,18,26,30,125,99,135,59,53,99,53,69,49,99,80,69,52,99,69,99,79,99,22,435,457,Fist of Justice,1,God Catch,0,Hammer of Fury,0,Dimensional Hand,0,0x01
Nathan Swift,Nathan,DF,Male,Medium,Air,64,59,23,22,22,21,28,22,21,124,99,122,89,64,89,58,89,68,89,57,99,76,69,58,89,40,89,23,421,444,Flurry Dash,1,Wind God's Dance,15,Whirlwind Drop,0,The Hurricane,45,0x02
Jack Wallside,Jack,DF,Male,Large,Earth,59,48,18,21,18,26,19,21,21,113,89,116,59,40,69,53,59,62,59,66,69,49,99,65,69,54,89,35,389,424,The Wall,1,Mole Fake,12,Stone Wall,23,The Mountain,35,0x03
Jim Wraith,Jim,DF,Male,Medium,Wood,43,33,7,14,11,11,12,13,8,113,59,127,59,58,59,53,59,75,59,63,59,53,59,62,59,60,99,17,424,441,Warp Drive,1,About Face,22,Shadow Stitch,34,Sub-Terfuge,60,0x04
Tod Ironside,Tod,DF,Male,Small,Fire,59,43,23,18,9,22,17,24,19,118,89,114,89,54,89,55,89,53,99,56,89,59,89,56,89,65,89,19,398,417,Deceptor Dribble,1,Comet Shot,7,Defence Plus,20,Circus Block,42,0x05
Steve Grim,Steve,MF,Male,Medium,Air,43,51,13,9,11,11,10,7,11,120,59,120,59,60,99,60,59,62,59,60,59,62,59,64,59,62,59,6,430,436,Zigzag Spark,1,Rolling Kick,12,Shooting Star,30,Odin Sword,66,0x06
Tim Saunders,Timmy,MF,Male,Small,Wood,46,55,11,8,14,9,12,10,11,132,69,115,69,63,69,76,69,61,69,60,69,55,69,48,99,58,69,14,421,435,Gale Dash,1,Gyro Head,18,Kung Fu Fighting,35,Land Dragon,48,0x07
Sam Kincaid,Sam,MF,Male,Medium,Fire,50,41,9,11,6,11,10,9,14,125,59,123,59,65,59,57,59,56,59,56,59,58,59,56,59,76,99,11,424,435,Grenade Shot,1,Bewildered,14,Fake Bomber,23,Dragon Tornado,37,0x08
Maxwell Carson,Max,FW,Male,Medium,Air,61,73,21,22,28,22,26,19,19,125,99,127,69,51,89,56,69,72,69,64,69,60,59,56,99,57,59,22,416,438,Quick Draw,1,Speed Force,55,Illusion Ball,20,Dash Storm,38,0x09
Axel Blaze,Axel,FW,Male,Medium,Fire,69,82,28,26,23,24,24,22,22,133,59,123,69,78,69,66,69,62,59,58,99,63,59,60,59,60,59,13,447,460,Fire Tornado,1,Fireball Storm,1,Fireball Screw,0,Grand Fire,0,0x0A
Kevin Dragonfly,Kevin,FW,Male,Medium,Wood,61,88,27,25,20,22,19,24,18,122,59,124,89,79,69,60,59,49,89,53,89,51,99,64,59,70,69,20,426,446,Dragon Crash,1,Dragon Slayer,0,Wyvern Crash,18,Wyvern Blizzard,32,0x0B
William Glass,Willy,FW,Male,Medium,Wood,31,21,7,8,7,11,7,5,7,98,99,144,99,56,99,51,99,68,99,57,99,56,99,53,99,60,99,22,401,423,Jinx,1,Spectacle Crash,30,Trickery!,50,Chaos Break,75,0x0C
Joseph King,King,GK,Male,Medium,Fire,60,96,15,11,13,16,13,14,14,129,59,129,59,55,59,53,69,69,59,75,59,55,59,64,99,60,69,13,431,444,Economy!,1,Critical!,1,Drill Smasher,10,Infinite Wall,1,0x15
Peter Drent,Drent,DF,Male,Large,Earth,64,89,14,17,14,18,12,14,10,130,69,108,99,54,69,64,59,59,99,71,69,44,59,63,69,62,59,18,417,435,Supreme Spin,1,Earthquake,20,Reflect Buster,42,Ground Quake,64,0x16
Ben Simmons,Simmons,DF,Male,Medium,Wood,68,76,11,12,14,16,12,14,10,124,59,120,69,58,69,63,69,62,59,60,69,59,59,55,59,69,99,7,426,433,Breakthrough,1,Cyclone,1,Dog Run,44,Double Cyclone,55,0x17
Alan Master,Master,MF,Male,Medium,Air,65,64,12,10,13,16,15,17,11,120,59,124,69,60,69,64,69,58,59,69,69,59,59,62,59,66,99,2,438,440,Killer Slide,1,Illusion Ball,1,Echo Ball,62,Offence Force,1,0x18
Gus Martin,Martin,DF,Male,Medium,Wood,62,66,13,10,12,14,12,13,12,118,99,128,59,62,59,52,59,70,99,62,59,63,59,60,59,52,59,10,421,431,Killer Slide,1,Clone Faker,1,Attack Scan,31,Sigma Zone,49,0x19
Herman Waldon,Waldon,MF,Male,Medium,Air,69,72,16,10,15,12,16,16,14,120,59,121,69,62,69,60,69,72,59,59,69,65,59,57,59,52,99,6,427,433,Killer Slide,1,Breakthrough 2,1,Freeze Shot,36,Gladius Arch,66,0x1A
John Bloom,Bloom,MF,Male,Medium,Fire,60,74,12,13,12,11,17,11,14,117,59,124,59,51,99,71,69,67,69,52,89,68,59,54,59,62,59,9,425,434,Trickery!,1,Breakthrough 2,1,Wrath Shot,1,Breakthrough 3,52,0x1B
Derek Swing,Swing,MF,Male,Small,Air,69,68,12,11,13,10,14,13,11,122,59,124,69,45,69,56,69,76,59,59,69,69,59,60,59,61,99,10,426,436,Trickery!,1,Bubble Gum,1,Clone Faker,32,Death Zone 2,75,0x1C
Daniel Hatch,Hatch,FW,Male,Medium,Wood,66,76,20,11,14,15,14,17,16,111,59,121,59,60,59,55,59,68,99,68,59,52,59,61,59,64,59,4,428,432,Trickery!,1,Double Cyclone,10,Killer Slide,1,Double Wrath Shot,45,0x1D
Jude Sharp,Jude,MF,Male,Medium,Air,70,75,28,29,25,27,23,25,23,123,69,126,69,63,69,59,69,79,69,52,69,68,69,56,69,68,99,17,445,462,Illusion Ball,1,Twin Boost,1,Emperor Penguin No. 3,0,Field of Force,50,0x1E
David Samford,Samford,FW,Male,Medium,Wood,72,100,26,22,27,23,27,23,26,124,99,126,59,70,59,60,99,61,59,53,59,58,59,70,69,67,69,13,439,452,Offence Force,1,Gale Dash,1,Emperor Penguin No. 2,1,Space Penguin,70,0x1F
Bob Carlton,Carlton,GK,Male,Large,Wood,44,54,11,12,11,14,13,11,11,108,59,130,69,58,69,55,69,63,59,62,69,65,59,62,59,55,99,8,420,428,Power Shield,1,Full Power Shield,24,Earthquake,35,Giant Spider,44,0x20
Cliff Tomlinson,T'linson,FW,Male,Medium,Air,46,54,14,12,12,13,14,13,14,105,59,125,59,53,59,60,99,52,59,61,59,54,59,52,59,53,59,28,385,413,Grenade Shot,1,Killer Slide,28,Breakthrough,41,Twin Boost F,57,0x21
