Mark Evans,Mark,GK,Male,Medium,Earth,37,41,13,16,15,17,8,16,20,191,99,184,59,72,99,72,69,70,99,77,69,68,99,69,99,79,99,35,507,542,Grenade Shot,10,God Hand(E),Event,Majin The Hand(E),Event,Triple Defence,Event,0x01
Nathan Swift,Nathan,DF,Male,Medium,Air,64,74,13,12,12,11,18,12,11,169,89,156,89,64,89,58,89,68,89,54,89,76,69,58,89,56,89,28,434,462,Fire Rooster,Event,Flurry Dash,7,Quick Draw,18,Clone Faker,36,0x02
Jack Wallside,Jack,DF,Male,Large,Earth,39,63,8,11,8,16,9,11,11,206,89,165,59,62,69,68,59,62,59,66,69,49,89,54,69,54,89,11,415,426,The Wall,11,Super Armadillo,16,Mole Fake,32,Mega Quake,55,0x03
Jim Wraith,Jim,DF,Male,Medium,Wood,43,33,7,14,11,11,12,13,8,195,59,140,59,58,59,53,59,75,59,59,59,53,59,62,59,60,59,27,420,447,Coil Turn,8,About Face,22,Afterimage,32,Shadow Stitch,44,0x04
Tod Ironside,Tod,DF,Male,Small,Fire,39,33,8,8,9,7,7,14,9,184,89,161,89,54,89,55,89,53,89,56,89,59,89,56,89,65,89,17,398,415,Rodeo Clown,7,Comet Shot,10,Monkey Turn,25,Run Ball Run,35,0x05
Steve Grim,Steve,MF,Male,Medium,Air,43,51,13,9,11,11,10,7,11,154,59,144,59,62,59,64,59,71,59,64,59,71,59,71,59,71,59,24,474,498,Rolling Kick,10,Zigzag Spark,20,Cyclone,39,Freeze Shot,50,0x06
Tim Saunders,Timmy,MF,Male,Small,Wood,46,55,11,8,14,9,12,10,11,156,69,149,69,63,69,76,69,61,69,60,69,55,69,48,69,58,69,16,421,437,Whirlwind Twister,6,Kung Fu Header,18,Clone Faker,32,Clone Shot,46,0x07
Sam Kincaid,Sam,MF,Male,Medium,Fire,50,41,9,11,6,11,10,9,14,167,59,136,59,71,59,57,59,56,59,56,59,52,59,56,59,76,59,15,424,439,Grenade Shot,12,Bewildered,14,Fake Ball,23,Twin Boost,34,0x08
Maxwell Carson,Max,FW,Male,Medium,Air,51,63,11,12,18,12,16,9,9,156,89,160,69,60,89,56,69,78,69,64,69,60,59,56,89,62,59,27,436,463,Quick Draw,7,Spiral Shot,10,Illusion Ball,20,Back Tornado,36,0x09
Axel Blaze,Axel,FW,Male,Medium,Fire,49,63,18,16,13,14,14,12,12,200,59,176,69,79,69,66,69,76,59,64,59,72,59,68,59,60,59,20,485,505,Fire Tornado,Event,Heat Tackle,17,Quick Draw,26,Inazuma Drop,Event,0x0A
