Mark Evans,Mark,GK,Male,Medium,Earth,37,41,13,16,15,17,8,16,20,191,Lv.99,184,Lv.59,72,Lv.99,72,Lv.69,70,Lv.99,77,Lv.69,68,Lv.99,69,Lv.99,79,Lv.99,35,507,542,God Hand(E),Lv.1,Majin The Hand(E),Lv.1,Fist of Justice,Event,The Earth,Event,0x01
Nathan Swift,Nathan,DF,Male,Medium,Air,64,74,13,12,12,11,18,12,11,169,Lv.89,156,Lv.89,64,Lv.89,58,Lv.89,68,Lv.89,54,Lv.89,76,Lv.69,58,Lv.89,56,Lv.89,28,434,462,Flurry Dash,Lv.1,Clone Faker,Lv.25,Clone Defence,Lv.38,Fire Rooster,Lv.45,0x02
Jack Wallside,Jack,DF,Male,Large,Earth,39,63,8,11,8,16,9,11,11,206,Lv.89,165,Lv.59,62,Lv.69,68,Lv.59,62,Lv.59,66,Lv.69,49,Lv.89,54,Lv.69,54,Lv.89,11,415,426,The Wall,Lv.1,Super Armadillo,Lv.16,Mole Fake,Lv.32,Stone Wall,Event,0x03
Jim Wraith,Jim,DF,Male,Medium,Wood,43,33,7,14,11,11,12,13,8,195,Lv.59,140,Lv.59,58,Lv.59,53,Lv.59,75,Lv.59,59,Lv.59,53,Lv.59,62,Lv.59,60,Lv.59,27,420,447,Coil Turn,Lv.1,About Face,Lv.22,Shadow Stitch,Lv.34,Bamboo Pattern,Lv.60,0x04
Tod Ironside,Tod,DF,Male,Small,Fire,39,33,8,8,9,7,7,14,9,184,Lv.89,161,Lv.89,54,Lv.89,55,Lv.89,53,Lv.89,56,Lv.89,59,Lv.89,56,Lv.89,65,Lv.89,17,398,415,Monkey Turn,Lv.7,Comet Shot,Lv.15,Utter Gutsiness Bat,Lv.28,Armadillo Circus,Lv.40,0x05
Steve Grim,Steve,MF,Male,Medium,Air,43,51,13,9,11,11,10,7,11,154,Lv.59,144,Lv.59,62,Lv.59,64,Lv.59,71,Lv.59,64,Lv.59,71,Lv.59,71,Lv.59,71,Lv.59,24,474,498,Zigzag Spark,Lv.1,Rolling Kick,Lv.12,Shooting Star,Lv.30,Shot Force,Lv.55,0x06
Tim Saunders,Timmy,MF,Male,Small,Wood,46,55,11,8,14,9,12,10,11,156,Lv.69,149,Lv.69,63,Lv.69,76,Lv.69,61,Lv.69,60,Lv.69,55,Lv.69,48,Lv.69,58,Lv.69,16,421,437,Whirlwind Twister,Lv.1,Gyro Head,Lv.18,Kung Fu Fighting,Lv.35,Clone Defence,Lv.48,0x07
Sam Kincaid,Sam,MF,Male,Medium,Fire,50,41,9,11,6,11,10,9,14,167,Lv.59,136,Lv.59,71,Lv.59,57,Lv.59,56,Lv.59,56,Lv.59,52,Lv.59,56,Lv.59,76,Lv.59,15,424,439,Grenade Shot,Lv.1,Bewildered,Lv.14,Fake Ball,Lv.23,Inazuma Drop,Lv.37,0x08
Maxwell Carson,Max,FW,Male,Medium,Air,51,63,11,12,18,12,16,9,9,156,Lv.89,160,Lv.69,60,Lv.89,56,Lv.69,78,Lv.69,64,Lv.69,60,Lv.59,56,Lv.89,62,Lv.59,27,436,463,Quick Draw,Lv.1,Speed Force,Lv.55,Illusion Ball,Lv.20,Dash Storm,Lv.38,0x09
Axel Blaze,Axel,FW,Male,Medium,Fire,49,63,18,16,13,14,14,12,12,200,Lv.59,176,Lv.69,79,Lv.69,66,Lv.69,76,Lv.59,64,Lv.59,72,Lv.59,68,Lv.59,60,Lv.59,20,485,505,Fire Tornado,Lv.1,Heat Tackle,Lv.17,Inazuma Drop,Lv.25,Fireball Storm,Event,0x0A
Kevin Dragonfly,Kevin,FW,Male,Medium,Wood,51,60,17,15,10,12,9,14,8,195,Lv.59,144,Lv.89,71,Lv.69,60,Lv.59,59,Lv.89,61,Lv.89,60,Lv.69,64,Lv.59,70,Lv.69,16,445,461,Dragon Crash,Lv.1,Dragon Tornado,Lv.24,Wyvern Crash,Event,Wyvern Blizzard,Lv.52,0x0B
William Glass,Willy,FW,Male,Medium,Wood,31,21,7,8,7,11,7,5,7,147,Lv.99,168,Lv.99,56,Lv.99,51,Lv.99,68,Lv.99,57,Lv.99,56,Lv.99,53,Lv.99,60,Lv.99,14,401,415,Jinx,Lv.1,Black Magic,Lv.30,Attack Scan,Lv.75,God Break,Lv.99,0x0C
