Player info,,,,,,Level 1 stats,,,,,,,,,Level 99 stats Note: Freedom is without Daisuke's notes,,,,,,,,,,,,,,,,,,,,,Moves,,,,,,,,
Full Name,Nickname,Position,Gender,Size,Element,FP,TP,Kick,Body,Control,Guard,Speed,Stamina,Guts,FP,Maxed out at,TP,Maxed out at,Kick,Maxed out at,Body,Maxed out at,Control,Maxed out at,Guard,Maxed out at,Speed,Maxed out at,Stamina,Maxed out at,Guts,Maxed out at,Freedom,Total,Max Totaal,Move 1,Learns at,Move  2,Learns at,Move 3,Learns at,Move 4,Learns at,Player HEX ID
Mark Evans,Mark,GK,Male,Medium,Earth,47,94,13,16,25,25,18,26,30,125,Lv.99,135,Lv.59,53,Lv.99,53,Lv.69,49,Lv.99,80,Lv.69,52,Lv.99,69,Lv.99,79,Lv.99,22,435,457,Fist of Justice,Lv.1,God Catch,Event,Hammer of Fury,Event,Dimensional Hand,Event,0x01
Nathan Swift,Nathan,DF,Male,Medium,Air,64,59,23,22,22,21,28,22,21,124,Lv.99,122,Lv.89,64,Lv.89,58,Lv.89,68,Lv.89,57,Lv.99,76,Lv.69,58,Lv.89,40,Lv.89,23,421,444,Flurry Dash,Lv.1,Wind God’s Dance,Lv.15,Whirlwind Drop,Event,The Hurricane,Lv.45,0x02
Jack Wallside,Jack,DF,Male,Large,Earth,59,48,18,21,18,26,19,21,21,113,Lv.89,116,Lv.59,40,Lv.69,53,Lv.59,62,Lv.59,66,Lv.69,49,Lv.99,65,Lv.69,54,Lv.89,35,389,424,The Wall,Lv.1,Mole Fake,Lv.12,Stone Wall,Lv.23,The Mountain,Lv.35,0x03
Jim Wraith,Jim,DF,Male,Medium,Wood,43,33,7,14,11,11,12,13,8,113,Lv.59,127,Lv.59,58,Lv.59,53,Lv.59,75,Lv.59,63,Lv.59,53,Lv.59,62,Lv.59,60,Lv.99,17,424,441,Warp Drive,Lv.1,About Face,Lv.22,Shadow Stitch,Lv.34,Sub-Terfuge,Lv.60,0x04
Tod Ironside,Tod,DF,Male,Small,Fire,59,43,23,18,9,22,17,24,19,118,Lv.89,114,Lv.89,54,Lv.89,55,Lv.89,53,Lv.99,56,Lv.89,59,Lv.89,56,Lv.89,65,Lv.89,19,398,417,Deceptor Dribble,Lv.1,Comet Shot,Lv.7,Defence Plus,Lv.20,Circus Block,Lv.42,0x05
Steve Grim,Steve,MF,Male,Medium,Air,43,51,13,9,11,11,10,7,11,120,Lv.59,120,Lv.59,60,Lv.99,60,Lv.59,62,Lv.59,60,Lv.59,62,Lv.59,64,Lv.59,62,Lv.59,6,430,436,Zigzag Spark,Lv.1,Rolling Kick,Lv.12,Shooting Star,Lv.30,Odin Sword,Lv.66,0x06
Tim Saunders,Timmy,MF,Male,Small,Wood,46,55,11,8,14,9,12,10,11,132,Lv.69,115,Lv.69,63,Lv.69,76,Lv.69,61,Lv.69,60,Lv.69,55,Lv.69,48,Lv.99,58,Lv.69,14,421,435,Gale Dash,Lv.1,Gyro Head,Lv.18,Kung Fu Fighting,Lv.35,Land Dragon,Lv.48,0x07
Sam Kincaid,Sam,MF,Male,Medium,Fire,50,41,9,11,6,11,10,9,14,125,Lv.59,123,Lv.59,65,Lv.59,57,Lv.59,56,Lv.59,56,Lv.59,58,Lv.59,56,Lv.59,76,Lv.99,11,424,435,Grenade Shot,Lv.1,Bewildered,Lv.14,Fake Bomber,Lv.23,Dragon Tornado,Lv.37,0x08
Maxwell Carson,Max,FW,Male,Medium,Air,61,73,21,22,28,22,26,19,19,125,Lv.99,127,Lv.69,51,Lv.89,56,Lv.69,72,Lv.69,64,Lv.69,60,Lv.59,56,Lv.99,57,Lv.59,22,416,438,Quick Draw,Lv.1,Speed Force,Lv.55,Illusion Ball,Lv.20,Dash Storm,Lv.38,0x09
Axel Blaze,Axel,FW,Male,Medium,Fire,69,82,28,26,23,24,24,22,22,133,Lv.59,123,Lv.69,78,Lv.69,66,Lv.69,62,Lv.59,58,Lv.99,63,Lv.59,60,Lv.59,60,Lv.59,13,447,460,Fire Tornado,Lv.1,Fireball Storm,Lv.1,Fireball Screw,Event,Grand Fire,Event,0x0A
